problem_id,n_samples,n_passed,pass_rate
humaneval/HumanEval/38,8,0,0.0000
humaneval/HumanEval/39,8,1,0.1250
humaneval/HumanEval/4,8,8,1.0000
humaneval/HumanEval/40,8,8,1.0000
humaneval/HumanEval/41,8,8,1.0000
humaneval/HumanEval/42,8,8,1.0000
humaneval/HumanEval/43,8,8,1.0000
humaneval/HumanEval/44,8,8,1.0000
humaneval/HumanEval/45,8,8,1.0000
humaneval/HumanEval/46,8,3,0.3750
humaneval/HumanEval/47,8,8,1.0000
humaneval/HumanEval/48,8,8,1.0000
humaneval/HumanEval/49,8,5,0.6250
humaneval/HumanEval/5,8,4,0.5000
humaneval/HumanEval/50,8,3,0.3750
humaneval/HumanEval/51,8,7,0.8750
humaneval/HumanEval/52,8,8,1.0000
humaneval/HumanEval/53,8,8,1.0000
humaneval/HumanEval/54,8,5,0.6250
humaneval/HumanEval/55,8,7,0.8750
humaneval/HumanEval/56,8,8,1.0000
humaneval/HumanEval/57,8,6,0.7500
humaneval/HumanEval/58,8,8,1.0000
humaneval/HumanEval/59,8,2,0.2500
humaneval/HumanEval/6,8,3,0.3750
humaneval/HumanEval/60,8,8,1.0000
humaneval/HumanEval/61,8,8,1.0000
humaneval/HumanEval/62,8,8,1.0000
humaneval/HumanEval/63,8,8,1.0000
humaneval/HumanEval/64,8,2,0.2500
humaneval/HumanEval/65,8,1,0.1250
humaneval/HumanEval/66,8,8,1.0000
humaneval/HumanEval/67,8,1,0.1250
humaneval/HumanEval/68,8,7,0.8750
humaneval/HumanEval/69,8,6,0.7500
humaneval/HumanEval/7,8,8,1.0000
humaneval/HumanEval/70,8,2,0.2500
humaneval/HumanEval/71,8,8,1.0000
humaneval/HumanEval/72,8,8,1.0000
humaneval/HumanEval/73,8,7,0.8750
humaneval/HumanEval/74,8,1,0.1250
humaneval/HumanEval/75,8,3,0.3750
humaneval/HumanEval/76,8,2,0.2500
humaneval/HumanEval/77,8,2,0.2500
humaneval/HumanEval/78,8,3,0.3750
humaneval/HumanEval/79,8,6,0.7500
humaneval/HumanEval/8,8,6,0.7500
humaneval/HumanEval/80,8,7,0.8750
humaneval/HumanEval/81,8,0,0.0000
humaneval/HumanEval/82,8,8,1.0000
humaneval/HumanEval/83,8,0,0.0000
humaneval/HumanEval/84,8,7,0.8750
humaneval/HumanEval/85,8,8,1.0000
humaneval/HumanEval/86,8,7,0.8750
humaneval/HumanEval/87,8,0,0.0000
humaneval/HumanEval/88,8,1,0.1250
humaneval/HumanEval/89,8,5,0.6250
humaneval/HumanEval/9,8,7,0.8750
humaneval/HumanEval/90,8,0,0.0000
humaneval/HumanEval/91,8,1,0.1250
humaneval/HumanEval/92,8,6,0.7500
humaneval/HumanEval/93,8,0,0.0000
humaneval/HumanEval/94,8,6,0.7500
humaneval/HumanEval/95,8,3,0.3750
humaneval/HumanEval/96,8,5,0.6250
humaneval/HumanEval/97,8,8,1.0000
humaneval/HumanEval/98,8,6,0.7500
humaneval/HumanEval/99,8,0,0.0000
